1+0i 5.967021335232+0i -0.0326158477939928+0.184262577608459i -0.528901655309844+0.131066384799618i -0.923284909614195+0i
2+0i 6.38094841418868+0i -0.0248084758314066+0.206056323725074i -0.580036232839569+0.151754145481932i -1.00990812588597+0i
3+0i 6.70904391935816+0i -0.0122804648642399+0.225170992449408i -0.620328615391829+0.172552043828519i -1.06992029210985+0i
4+0i 6.94837644903891+0i 0.00531830974140518+0.240926610223777i -0.647783538086359+0.193129275342839i -1.09850174232696+0i
5+0i 7.10102383143196+0i 0.0280671508752568+0.252897296488161i -0.661074438869987+0.213212239682521i -1.09259877409454+0i
6+0i 7.17292262371888+0i 0.0558296275399304+0.260811929682257i -0.659593425779685+0.232552094928816i -1.05126009475826+0i
7+0i 7.17260299108112+0i 0.0882503318533618+0.264676763189207i -0.643434298566064+0.251003657138459i -0.975843442270217+0i
8+0i 7.11173308886113+0i 0.124671507090681+0.264711340339686i -0.61351633280156+0.268451483027521i -0.869661811959572+0i
9+0i 7.0025760699696+0i 0.164268058813835+0.261341970966018i -0.571413455531714+0.284840334062363i -0.737939532456053+0i
10+0i 6.85669346458871+0i 0.206130280133453+0.255118215975945i -0.519076720338241+0.3001392527413i -0.587559844725629+0i
11+0i 6.6857410191689+0i 0.24916501413547+0.246709922642781i -0.458963972741024+0.314361069263803i -0.42605172834009+0i
12+0i 6.49804024689951+0i 0.292408968887721+0.236833830585827i -0.393538309103243+0.327527950861532i -0.261669994565921+0i
13+0i 6.30128836424066+0i 0.334822882933292+0.226201071661958i -0.325352628015118+0.339682265565428i -0.102132525941376+0i
14+0i 6.09985570584231+0i 0.375578695436456+0.215430716675847i -0.256705174940385+0.350850673469425i 0.0454256534396856+0i
15+0i 5.89592535976155+0i 0.414011301064933+0.20511133228286i -0.189576581154866+0.361085022529335i 0.175102110319114+0i
16+0i 5.69061940836289+0i 0.449598849313084+0.195644783963079i -0.125541611083073+0.370400650069433i 0.282644201032268+0i
17+0i 5.48419308967138+0i 0.48199960747941+0.187363161284599i -0.0657611636664306+0.378844479645647i 0.365626947638805+0i
18+0i 5.27601991084004+0i 0.511093150541228+0.180428967084057i -0.0108780398465397+0.386419328951926i 0.423300651119143+0i
19+0i 5.06585239356293+0i 0.536909857768641+0.174841702039422i 0.0388526725750312+0.393075671989975i 0.45665455911964+0i
20+0i 4.85436365810297+0i 0.559583164564395+0.17053309656908i 0.0834946964639481+0.398788826153183i 0.468134636439811+0i
21+0i 4.64249965805503+0i 0.579389359734887+0.167333634020095i 0.123441396654298+0.403509872309007i 0.461118547100789+0i
22+0i 4.43257983723153+0i 0.596628563350063+0.164994805297597i 0.159216516649379+0.407184149591426i 0.43971915368496+0i
23+0i 4.22766021671881+0i 0.611628520991607+0.163268933299551i 0.191418809143165+0.409720834734977i 0.40830060713709+0i
24+0i 4.03165245584635+0i 0.624679679426892+0.161873778140547i 0.220636571416587+0.411026948485355i 0.371156690438776+0i
25+0i 3.84856227437646+0i 0.636053654460046+0.160513654946053i 0.247407898746556+0.410990509113346i 0.332118120596252+0i
26+0i 3.68214804187824+0i 0.645978017129234+0.158946121665917i 0.272168153163887+0.409512918093615i 0.294347422723785+0i
27+0i 3.53567284618743+0i 0.65462047444692+0.156972683845389i 0.295228851312757+0.406524294182317i 0.260233690402976+0i
28+0i 3.41135387456794+0i 0.662117798351852+0.154398140849197i 0.316814725534163+0.401935243409681i 0.231305249080684+0i
29+0i 3.31011160271441+0i 0.668585003564756+0.151078100080615i 0.337060755383736+0.395694271203658i 0.20827126649009+0i
30+0i 3.22876812246767+0i 0.674066228547479+0.146913267501561i 0.356075087248013+0.387769154518829i 0.191318767856692+0i
31+0i 3.17305717554925+0i 0.678680616358288+0.141839448539754i 0.373780207371559+0.37818425503812i 0.179877986285884+0i
32+0i 3.13899745786378+0i 0.682443986843858+0.135761341965709i 0.390152634598122+0.366951756155546i 0.173430419963821+0i
33+0i 3.11758435987149+0i 0.685567430420592+0.129033967232084i 0.405298334799317+0.354513813041028i 0.170034366389925+0i
