1+0i 9.88645017344454+0i 0.0907582704817437+-0.0488611185809659i -0.448814718790156+-0.041032395745906i 0.0699364880760356+0i
2+0i 10.5402658543652+0i 0.114564731581085+-0.0570297694694165i -0.503155479713757+-0.0474624505493618i 0.0780560260000549+0i
3+0i 11.0182072432646+0i 0.139615524680449+-0.0645821055923938i -0.553067238922977+-0.0532207872050063i 0.0856699888231984+0i
4+0i 11.310704976069+0i 0.165390803301828+-0.0710542483026403i -0.59717915250844+-0.0579008430440207i 0.0929203081568156+0i
5+0i 11.4172611408858+0i 0.191437511310631+-0.0757954097762782i -0.634364888333184+-0.0609032151291703i 0.0995608831012769+0i
6+0i 11.3492424524153+0i 0.217206467003048+-0.0784905433547772i -0.663953811667884+-0.0619552036869374i 0.106497350420454+0i
7+0i 11.1234386659205+0i 0.242442977690418+-0.0786260457585448i -0.685443527553187+-0.0605930580333764i 0.113709057260221+0i
8+0i 10.7632662888595+0i 0.266978459174642+-0.0758486854516896i -0.698704818524246+-0.0565012333971842i 0.121333658021893+0i
9+0i 10.2953333673899+0i 0.29085366319545+-0.0698401962166044i -0.703844294908391+-0.0493724553726018i 0.129112745633149+0i
10+0i 9.74919361256316+0i 0.31400006130966+-0.0604672642683808i -0.701461818996205+-0.0391203276737924i 0.137516626680267+0i
11+0i 9.15186043839131+0i 0.336695057564938+-0.0476693557195023i -0.692143672232167+-0.0256759885221364i 0.146054004760293+0i
12+0i 8.5283098512491+0i 0.359205839880728+-0.0315635826123907i -0.676708911410483+-0.00917945068407829i 0.154339668768223+0i
13+0i 7.89925776042961+0i 0.381882915008082+-0.0124365738598419i -0.65603451086174+0.0100817883797767i 0.161781948510999+0i
14+0i 7.28055834907397+0i 0.405082465310817+0.00929723486199275i -0.631014106927747+0.0317108081551976i 0.167613401917379+0i
15+0i 6.68345825228109+0i 0.429067831722047+0.0331305125249654i -0.602589590679729+0.0551987794385772i 0.171080724344151+0i
16+0i 6.11403656887375+0i 0.454095720395627+0.058507743397106i -0.571592689424869+0.0800026641823807i 0.171216703338025+0i
17+0i 5.57519621992299+0i 0.480230288706195+0.0848377279944924i -0.538876991444664+0.105535762265268i 0.167312005694413+0i
18+0i 5.06658134456476+0i 0.507500826577813+0.111449213305171i -0.505112136560532+0.131134446554811i 0.158659103242988+0i
19+0i 4.58661188346729+0i 0.535746354857773+0.137746302553046i -0.470961560530541+0.156210774206752i 0.144859144850105+0i
20+0i 4.1322557736987+0i 0.564804484694137+0.163181587776166i -0.436886819037288+0.180218947275937i 0.125559741591338+0i
21+0i 3.70130619869905+0i 0.59436168915471+0.187276623211862i -0.403331261212688+0.202696446102174i 0.100847475563777+0i
22+0i 3.29158485801841+0i 0.624152465568771+0.209623482663662i -0.370546242556947+0.223248815394616i 0.0709358201402586+0i
23+0i 2.90209356339756+0i 0.653881234193844+0.229957772603226i -0.338725577068504+0.24162661012564i 0.0363192043071339+0i
24+0i 2.53338468210758+0i 0.683202723580968+0.248094105514392i -0.30804189271852+0.257661089225703i -0.0020465424575556+0i
25+0i 2.18554599404348+0i 0.711995973367267+0.263931872366073i -0.278410118866378+0.271290394606364i -0.0434737416106062+0i
26+0i 1.86061906259867+0i 0.739986504668753+0.277399896401023i -0.249922293824217+0.282469235450651i -0.0864235819152908+0i
27+0i 1.55947540248095+0i 0.767128422161747+0.288545951342229i -0.222445556684615+0.291303722159848i -0.129837363609605+0i
28+0i 1.2831458890973+0i 0.793359302027664+0.29746940244111i -0.195909790399087+0.297935981558206i -0.172400602075673+0i
29+0i 1.03195987147635+0i 0.818668513460704+0.304269076031852i -0.170223591093717+0.302516752556218i -0.212865168387936+0i
30+0i 0.800905125180116+0i 0.843094769057668+0.309085643418932i -0.145191938425807+0.305251394448406i -0.250192325714501+0i
31+0i 0.598861607316229+0i 0.866588623194466+0.312064463861634i -0.120991422152307+0.306332699961138i -0.283234764440734+0i
32+0i 0.419607104642141+0i 0.889198626716863+0.313365051498098i -0.097550125921253+0.30597676822169i -0.311450570086671+0i
33+0i 0.259802688876296+0i 0.91085851240801+0.313134361043368i -0.0749312544076149+0.304374570275768i -0.334257337382908+0i
34+0i 0.11577534254383+0i 0.931528488183923+0.311527914614628i -0.0531724320456289+0.301711690752196i -0.351469761739441+0i
35+0i -0.0151685585228691+0i 0.951104173090132+0.308702687914882i -0.0324029435912813+0.298161964335528i -0.363119601542913+0i
36+0i -0.135064349227458+0i 0.969486288472137+0.304800182153116i -0.0127551098532142+0.293859096294855i -0.369553756983819+0i
37+0i -0.245526509568051+0i 0.986608671902015+0.30005673622487i 0.00566233566746541+0.28903236796017i -0.371497550811164+0i
38+0i -0.346459217803725+0i 1.00233263540417+0.294506756677199i 0.0226561302071135+0.28368196961866i -0.369820145531406+0i
39+0i -0.438714049497302+0i 1.01668555163449+0.288462013293501i 0.0381969930942+0.278069152143583i -0.365394559351546+0i
40+0i -0.523727864320087+0i 1.0296635350934+0.281737328795531i 0.0522335847431414+0.271946171643032i -0.359792793426989+0i
41+0i -0.602313647887034+0i 1.04146057170064+0.274685834145474i 0.064914100724872+0.265595508861019i -0.354015325471271+0i
42+0i -0.674267737748244+0i 1.0522431928117+0.26738262702187i 0.0763647723973964+0.259021947664218i -0.349154109885811+0i
43+0i -0.739692732709824+0i 1.06210911054836+0.259850610147089i 0.0866585029519167+0.252163402685669i -0.346253658791488+0i
44+0i -0.799058676289549+0i 1.07133977927934+0.252109116281352i 0.0960699318912041+0.244955479369234i -0.346187082946408+0i
45+0i -0.855122725649224+0i 1.08026063969078+0.244263594694096i 0.104941969065581+0.237447270313052i -0.349567512905436+0i
46+0i -0.91001733238011+0i 1.08914969281694+0.236193904813495i 0.113579797040169+0.229458103591152i -0.356646465550788+0i
47+0i -0.965333716290719+0i 1.0981994230067+0.228049649625193i 0.122213476496572+0.221102767694567i -0.367565840664771+0i
48+0i -1.02160345072427+0i 1.10750562556184+0.219684641521999i 0.130996438722414+0.212208125006935i -0.381920501865253+0i
49+0i -1.07952500297811+0i 1.11711652468658+0.211177826209403i 0.140023152948083+0.202859600441182i -0.399143016470669+0i
50+0i -1.13898442927922+0i 1.1269629884072+0.202524121655932i 0.149291311880937+0.193066953610314i -0.41838668890253+0i
51+0i -1.19941511373704+0i 1.13689438641984+0.193767466291387i 0.158691111490763+0.182907595886877i -0.438667133470407+0i
52+0i -1.25966463754315+0i 1.14669739289411+0.184921324806803i 0.168039252161596+0.172456534755138i -0.458849430379996+0i
53+0i -1.31672264821483+0i 1.15599317031256+0.176020755240156i 0.176990590531288+0.161797922847037i -0.477610063556815+0i
54+0i -1.37002278111338+0i 1.16458226623497+0.167221487050448i 0.185355215436887+0.151150649359379i -0.494114226493468+0i
55+0i -1.4173413550923+0i 1.17210231810507+0.158763715342208i 0.19275270698826+0.140826025579128i -0.507487909470019+0i
56+0i -1.45707404721828+0i 1.17834537930512+0.15054051183742i 0.198967189819625+0.130784181458193i -0.517043617368193+0i
57+0i -1.4871839850867+0i 1.18306141493299+0.142846800738384i 0.203708630049843+0.121363356925169i -0.52222377324965+0i
58+0i -1.50798927750123+0i 1.18629721358593+0.135756763815215i 0.206995990765019+0.112680034200337i -0.523226091059613+0i
59+0i -1.5183414521454+0i 1.1879233085997+0.129510512509119i 0.208652374215077+0.105007830647543i -0.520171075211762+0i
60+0i -1.51892173659201+0i 1.18806674920379+0.124175683286504i 0.208766477770651+0.0984262578685355i -0.513499066666129+0i
61+0i -1.51096252095302+0i 1.18690098121221+0.11986909246603i 0.207487888473697+0.0930479437501922i -0.503998193977945+0i
62+0i -1.49571278145021+0i 1.18467065610971+0.116551633958671i 0.205054048400752+0.0888135623046724i -0.492308401676294+0i
63+0i -1.47673821378797+0i 1.18178675226507+0.114385397013897i 0.201838665323815+0.0858579053278398i -0.480004830265002+0i
